epsilon,MAE_avg,MSE_avg,MAE_std,MSE_std
0.100000,1.605226e+01,5.884245e+02,7.897133e-07,1.262383e-05
0.200000,8.141387e+00,1.501227e+02,1.446045e-07,8.176105e-06
0.300000,5.451838e+00,6.713285e+01,2.954299e-07,0.000000e+00
0.400000,4.098951e+00,3.789021e+01,2.080810e-07,0.000000e+00
0.500000,3.282661e+00,2.427404e+01,0.000000e+00,2.532437e-07
0.600000,2.738467e+00,1.687760e+01,1.324635e-07,0.000000e+00
0.700000,2.349758e+00,1.241777e+01,8.248571e-08,5.562605e-07
0.800000,2.058226e+00,9.523179e+00,6.908967e-08,0.000000e+00
0.900000,1.831346e+00,7.538397e+00,0.000000e+00,1.525487e-08
1.000000,1.649712e+00,6.118451e+00,2.875098e-08,4.227003e-07
1.200000,1.377260e+00,4.268786e+00,0.000000e+00,0.000000e+00
1.400000,1.182651e+00,3.153496e+00,6.268479e-08,0.000000e+00
1.600000,1.036695e+00,2.429629e+00,0.000000e+00,1.138813e-07
1.800000,9.231341e-01,1.933272e+00,0.000000e+00,0.000000e+00
2.000000,8.320707e-01,1.577825e+00,5.729185e-08,0.000000e+00
3.000000,5.556456e-01,7.078148e-01,1.964461e-08,0.000000e+00
4.000000,4.167342e-01,3.981458e-01,1.524943e-08,0.000000e+00
5.000000,3.333873e-01,2.548133e-01,0.000000e+00,1.105033e-08
6.000000,2.778228e-01,1.769537e-01,0.000000e+00,8.350368e-09
7.000000,2.381338e-01,1.300068e-01,7.291011e-09,0.000000e+00
8.000000,2.083671e-01,9.953646e-02,0.000000e+00,0.000000e+00
9.000000,1.852152e-01,7.864609e-02,2.447041e-09,5.458946e-09
10.000000,1.666937e-01,6.370333e-02,1.150120e-08,4.903710e-09
-1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
