epsilon,MAE_avg,MSE_avg,MAE_std,MSE_std,epsilon(local)
0.100000,1.487998e+02,3.467140e+04,4.370214e+00,2.016484e+03,3.798339
0.200000,7.848383e+01,9.732521e+03,2.230133e+00,5.248074e+02,5.058339
0.300000,5.643246e+01,5.065317e+03,1.807033e+00,3.097902e+02,5.778339
0.400000,4.563340e+01,3.331438e+03,1.300598e+00,1.806879e+02,6.268339
0.500000,3.962735e+01,2.554333e+03,1.162998e+00,1.533118e+02,6.608339
0.600000,3.525445e+01,2.056436e+03,1.114013e+00,1.389256e+02,6.868339
0.700000,3.282225e+01,1.809301e+03,1.089247e+00,1.264160e+02,7.058339
0.800000,3.263343e+01,1.791757e+03,9.716425e-01,1.217367e+02,7.068339
0.900000,3.266146e+01,1.786266e+03,1.059246e+00,1.170247e+02,7.068339
1.000000,3.286201e+01,1.804161e+03,9.538620e-01,1.132514e+02,7.068339
1.200000,3.282845e+01,1.811217e+03,1.130208e+00,1.278912e+02,7.068339
1.400000,3.268800e+01,1.794192e+03,1.003021e+00,1.311267e+02,7.068339
1.600000,3.276629e+01,1.803313e+03,9.400840e-01,1.188236e+02,7.068339
1.800000,3.287872e+01,1.818841e+03,9.335696e-01,1.166272e+02,7.068339
2.000000,3.273669e+01,1.797248e+03,1.090574e+00,1.209454e+02,7.068339
3.000000,3.282556e+01,1.799052e+03,1.073537e+00,1.282835e+02,7.068339
4.000000,3.278049e+01,1.798609e+03,1.062886e+00,1.269898e+02,7.068339
5.000000,3.265156e+01,1.782471e+03,9.212171e-01,1.053347e+02,7.068339
6.000000,3.272635e+01,1.798388e+03,1.078522e+00,1.382029e+02,7.068339
7.000000,3.286099e+01,1.810930e+03,1.016587e+00,1.167967e+02,7.068339
8.000000,2.376153e+01,1.051685e+03,7.623655e-01,9.005637e+01,8.000000
9.000000,1.846573e+01,7.580573e+02,6.844829e-01,7.914902e+01,9.000000
10.000000,1.557221e+01,6.323282e+02,5.810457e-01,7.872240e+01,10.000000
-1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.000000
