epsilon,MAE_avg,MSE_avg,MAE_std,MSE_std,epsilon(local)
0.100000,9.579394e+03,1.433980e+08,2.651671e+02,7.397604e+06,0.100000
0.200000,4.752991e+03,3.558539e+07,1.480241e+02,2.146048e+06,0.200000
0.300000,3.168709e+03,1.573860e+07,9.413733e+01,8.561354e+05,0.300000
0.400000,2.378258e+03,8.866973e+06,7.047502e+01,4.910176e+05,0.400000
0.500000,1.883831e+03,5.600074e+06,4.984264e+01,2.715786e+05,0.500000
0.600000,1.565846e+03,3.857111e+06,4.603299e+01,2.189974e+05,0.600000
0.700000,1.346714e+03,2.850729e+06,3.929000e+01,1.659419e+05,0.700000
0.800000,1.167606e+03,2.139222e+06,3.431895e+01,1.161504e+05,0.800000
0.900000,1.025100e+03,1.646031e+06,2.938294e+01,8.621722e+04,0.900000
1.000000,9.177519e+02,1.319635e+06,2.330774e+01,6.658584e+04,1.000000
1.200000,7.505763e+02,8.804601e+05,2.666529e+01,5.377391e+04,1.200000
1.400000,6.352941e+02,6.311588e+05,1.951229e+01,3.666364e+04,1.400000
1.600000,5.398774e+02,4.593402e+05,1.546067e+01,2.499838e+04,1.600000
1.800000,4.647188e+02,3.385987e+05,1.381420e+01,1.805566e+04,1.800000
2.000000,4.071598e+02,2.606422e+05,1.088966e+01,1.367369e+04,2.000000
3.000000,2.245622e+02,7.947810e+04,6.901940e+00,4.486395e+03,3.000000
4.000000,1.330963e+02,2.781137e+04,4.042728e+00,1.656255e+03,4.000000
5.000000,8.098966e+01,1.033242e+04,2.470994e+00,6.051311e+02,5.000000
6.000000,5.104667e+01,4.146399e+03,1.392123e+00,2.136033e+02,6.000000
7.000000,3.335152e+01,1.868553e+03,9.749898e-01,1.197812e+02,7.000000
8.000000,2.385711e+01,1.050168e+03,8.174606e-01,8.930500e+01,8.000000
9.000000,1.837886e+01,7.437738e+02,5.572368e-01,6.957627e+01,9.000000
10.000000,1.560940e+01,6.341591e+02,5.323313e-01,6.642039e+01,10.000000
-1.000000,1.290080e+01,5.804688e+02,5.999993e-01,8.660101e+01,-1.000000
