epsilon,MAE_avg,MSE_avg,MAE_std,MSE_std,epsilon(local)
0.100000,1.133378e+05,2.017452e+10,3.397789e+03,1.219661e+09,0.100000
0.200000,5.387123e+04,4.569072e+09,1.441818e+03,2.325034e+08,0.200000
0.300000,3.423629e+04,1.841563e+09,9.841909e+02,1.049372e+08,0.300000
0.400000,2.437045e+04,9.308146e+08,6.664368e+02,4.957657e+07,0.400000
0.500000,1.837534e+04,5.301081e+08,5.712544e+02,2.939833e+07,0.500000
0.600000,1.454811e+04,3.308620e+08,4.800579e+02,1.984403e+07,0.600000
0.700000,1.185287e+04,2.202004e+08,3.548865e+02,1.186950e+07,0.700000
0.800000,9.737298e+03,1.490128e+08,2.785929e+02,7.954967e+06,0.800000
0.900000,8.190172e+03,1.055821e+08,2.740412e+02,6.653666e+06,0.900000
1.000000,6.963445e+03,7.618485e+07,2.140806e+02,4.391022e+06,1.000000
1.200000,5.183140e+03,4.222668e+07,1.427407e+02,2.091454e+06,1.200000
1.400000,3.940261e+03,2.430844e+07,1.202839e+02,1.418259e+06,1.400000
1.600000,3.036055e+03,1.447312e+07,8.997035e+01,7.817864e+05,1.600000
1.800000,2.379626e+03,8.891252e+06,7.452645e+01,5.141778e+05,1.800000
2.000000,1.884001e+03,5.581505e+06,5.972756e+01,3.308159e+05,2.000000
3.000000,6.428892e+02,6.512705e+05,1.810868e+01,3.496721e+04,3.000000
4.000000,2.394583e+02,9.050356e+04,8.141791e+00,5.656735e+03,4.000000
5.000000,9.755491e+01,1.526305e+04,2.981959e+00,8.920764e+02,5.000000
6.000000,4.374600e+01,3.146792e+03,1.322951e+00,1.982230e+02,6.000000
7.000000,2.194748e+01,8.278679e+02,6.488768e-01,5.751069e+01,7.000000
8.000000,1.224770e+01,2.672169e+02,4.076210e-01,2.149341e+01,8.000000
9.000000,7.187095e+00,9.310305e+01,2.352582e-01,7.784630e+00,9.000000
10.000000,4.263832e+00,3.291770e+01,1.329174e-01,2.629613e+00,10.000000
-1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.000000
